,index,Job Title,Salary Estimate,,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply,size1,size2
11,11,Data Scientist/Machine Learning,$111K,$181K ,4.4,"PulsePoint
4.4","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Crossix Solutions Inc., AppNexus, The Trade Desk",-1,51,200
12,12,"Data Scientist, Acorn AI Labs",$111K,$181K ,4.3,"Medidata Solutions
4.3","New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,-1,1001,5000
13,13,Data Scientist,$111K,$181K ,3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000
14,14,Data Scientist - Alpha Insights,$111K,$181K ,4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000
15,15,Data Scientist,$111K,$181K ,3,"Affinity Solutions
3.0","New York, NY","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",TRUE,51,200
16,16,"Data Scientist, Analytics",$111K,$181K ,3.6,"Etsy
3.6","Brooklyn, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD),"Airbnb, Warby Parker, Kickstarter",-1,501,1000
17,17,Data Scientist/ML Engineer,$111K,$181K ,3.3,"PA Consulting
3.3","New York, NY","London, United Kingdom",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD),"McKinsey & Company, Accenture, Deloitte",-1,1001,5000
18,18,Data Scientist,$111K,$181K ,3.6,"Etsy
3.6","New York, NY","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD),"Airbnb, Warby Parker, Kickstarter",-1,501,1000
19,19,"VP, Data Science",$111K,$181K ,3.9,"7Park Data
3.9","New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,51,200
20,20,"Data Scientist, Disney+ Personalization",$111K,$181K ,4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,10000+ employees,
21,21,"Senior Data Scientist, Data Science Operations",$111K,$181K ,3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,1001,5000
22,22,Quantitative Researcher – Intern (US),$111K,$181K ,4.1,"Citadel Securities
4.1","New York, NY","Chicago, IL",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,-1,201,500
23,23,Senior Data Engineer (Healthcare Domain experience required),$111K,$181K ,3.4,"Enterprise Integration
3.4","New York, NY","Jacksonville, FL",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,-1,51,200
24,24,Data Scientist,$111K,$181K ,4.4,"WITHIN
4.4","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,-1,51,200
25,25,"Data Scientist, Marketplace Economics",$111K,$181K ,3.8,"Spotify
3.8","New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,1001,5000
26,26,Data Scientist,$111K,$181K ,4.1,"Datadog
4.1","New York, NY","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),-1,-1,1001,5000
27,27,Lead Data Scientist,$111K,$181K ,3.3,"Aetna
3.3","New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,10000+ employees,
28,28,"Data Scientist, Personalization",$111K,$181K ,5,"Hungryroot
5.0","New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD),-1,-1,1,50
29,29,Principal Data Scientist,$111K,$181K ,3.3,"Aetna
3.3","New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,10000+ employees,
30,32,Data Scientist,$120K,$140K ,4.3,"Caserta
4.3","New York, NY","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,51,200
31,33,"Data Scientist, Decisions",$120K,$140K ,3.7,"Lyft
3.7","New York, NY","San Francisco, CA",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,TRUE,5001,10000
32,34,Data Scientist,$120K,$140K ,4.3,"IBG LLC
4.3","New York, NY","Memphis, TN",201 to 500 employees,1990,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD),-1,-1,201,500
33,35,Data Scientist,$120K,$140K ,3,"CLEAR
3.0","New York, NY","New York, NY",1001 to 5000 employees,2010,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,-1,-1,1001,5000
34,36,Data Science Analyst,$120K,$140K ,3.7,"GNY Insurance Companies
3.7","New York, NY","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),"Travelers, Chubb, Crum & Forster",TRUE,201,500
35,37,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$120K,$140K ,3.4,"Squarespace
3.4","New York, NY","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy,-1,1001,5000
36,38,Data Scientist,$120K,$140K ,3.5,"Andiamo
3.5","New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1,201,500
37,39,Data Scientist,$120K,$140K ,4.2,"infarm
4.2","New York, NY","Berlin, Germany",501 to 1000 employees,2013,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,-1,-1,501,1000
38,40,Data Scientist for Alpha Insights,$120K,$140K ,3.5,"Andiamo
3.5","New York, NY","Warren, MI",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),-1,-1,201,500
39,41,"Data Scientist, Analytics",$120K,$140K ,4.6,"Bowery Farming
4.6","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable,-1,-1,51,200
40,42,Data Scientist,$120K,$140K ,4.3,"NorthOne
4.3","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50
41,43,Quantitative Researcher / Quantitative Research Analyst,$120K,$140K ,4.1,"Citadel Securities
4.1","New York, NY","Chicago, IL",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,Virtu Financial,-1,201,500
42,44,Technical Data Consultant,$120K,$140K ,4.3,"Braze
4.3","New York, NY","New York, NY",501 to 1000 employees,2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,TRUE,501,1000
43,45,"Data Scientist, Instagram - Well-being, Trust",$120K,$140K ,4.5,"Facebook
4.5","New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),"Google, Microsoft, Apple",-1,10000+ employees,
44,46,Data Science Analyst,$120K,$140K ,-1,MUSIC & Entertainment,"New York, NY","Marina del Rey, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1,Unknown,
45,47,"Data Scientist, Decisions",$120K,$140K ,3.9,"Crisis Text Line
3.9","New York, NY","New York, NY",51 to 200 employees,2013,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable,-1,-1,51,200
46,48,Data Scientist,$120K,$140K ,3.4,"Casper
3.4","New York, NY","New York, NY",501 to 1000 employees,2014,Company - Public,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable,-1,-1,501,1000
47,49,Data Scientist/Lead Data Scientist,$120K,$140K ,4.7,"BlueLabs
4.7","New York, NY","Washington, DC",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,-1,1,50
48,50,Quantitative Research Analyst,$120K,$140K ,3.6,"Tower Research Capital
3.6","New York, NY","New York, NY",501 to 1000 employees,1998,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable,-1,-1,501,1000
49,51,"Data Scientist, Analytics & Inference",$120K,$140K ,3.5,"Codecademy
3.5","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Education Training Services,Education,Unknown / Non-Applicable,-1,TRUE,51,200
50,52,Data Analyst,$120K,$140K ,3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000
51,53,CIB - Data Scientist,$120K,$140K ,3.9,"JPMorgan Chase
3.9","New York, NY","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,10000+ employees,
52,54,Data Scientist,$120K,$140K ,3.2,"viagogo
3.2","New York, NY","New York, NY",501 to 1000 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,501,1000
53,55,Data Scientist,$120K,$140K ,-1,CompIQ,"New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,-1,1,50
54,56,Lead Data Scientist - 66201BR,$120K,$140K ,3.3,"Aetna
3.3","New York, NY","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),-1,-1,10000+ employees,
55,57,"Data Scientist, Analytics & Inference",$120K,$140K ,-1,Codeacademy,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
56,58,Data Scientist,$120K,$140K ,4.2,"Gallup
4.2","New York, NY","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",-1,1001,5000
57,59,"Data Scientist, Buyer Experience",$120K,$140K ,3.6,"eBay
3.6","New York, NY","San Jose, CA",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD),"Amazon, Apple",-1,10000+ employees,
58,60,Data Scientist,$120K,$140K ,3.9,"Amazon
3.9","New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",-1,10000+ employees,
59,61,Data Scientist - Forecasting,$120K,$140K ,3.9,"Amazon
3.9","New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",-1,10000+ employees,
60,64,Data Scientist - Machine Learning Platform,$119K,$147K ,3.8,"Spotify
3.8","New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,1001,5000
61,65,Data Scientist - People Analytics,$119K,$147K ,-1,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
62,66,Data Scientist / Engineer,$119K,$147K ,5,"Snappy
5.0","New York, NY","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,1,50
63,67,Data Scientist,$119K,$147K ,-1,Pierce Technology Corp,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
64,68,Applied Data Scientist,$119K,$147K ,3.4,"Aptus Health
3.4","New York, NY","Reading, MA",201 to 500 employees,2008,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,-1,201,500
65,69,Data Scientist - Analytics Engineer,$119K,$147K ,3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1,10000+ employees,
66,70,People Analytics Data Scientist,$119K,$147K ,4.4,"D. E. Shaw & Co.
4.4","New York, NY","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,"Renaissance Technologies LLC, Two Sigma, AQR Capital Management",TRUE,1001,5000
67,71,Data Scientist,$119K,$147K ,3,"Known
3.0","New York, NY","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,-1,201,500
68,72,Credit Analytics Manager,$119K,$147K ,4,"Liberty Lending
4.0","New York, NY","New York, NY",51 to 200 employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable,"SoFi, LendingClub, Freedom Financial Network",TRUE,51,200
69,73,Data Scientist - Nationwide Opportunities,$119K,$147K ,3.9,"Amazon
3.9","New York, NY","Seattle, WA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),"Google, Microsoft, Walmart",-1,10000+ employees,
70,74,Data Scientist,$119K,$147K ,3.6,"DoSomething.org
3.6","New York, NY","New York, NY",51 to 200 employees,1993,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD),-1,TRUE,51,200
71,75,Data Scientist,$119K,$147K ,3.9,"ApTask
3.9","New York, NY","Iselin, NJ",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"Collabera, Mitchell Martin, The Judge Group",-1,201,500
72,76,Data Scientist,$119K,$147K ,2.8,"Match Group
2.8","New York, NY","Norwalk, CT",1001 to 5000 employees,1998,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,-1,1001,5000
73,77,Data Scientist - Power BI,$119K,$147K ,4.1,"UCI
4.1","New York, NY","Tehran, Iran",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1,1,50
74,80,Data Engineer (Python),$74K,$124K ,4.4,"Conductor
4.4","New York, NY","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD),"Brightedge Technologies, Moz, seoClarity",TRUE,201,500
75,81,Data Scientist - Next Gen Digital Investing App,$74K,$124K ,3.3,"Forbes Media
3.3","Jersey City, NJ","Jersey City, NJ",201 to 500 employees,1917,Company - Private,Publishing,Media,Unknown / Non-Applicable,"Economist Group, Wall Street Journal",-1,201,500
76,82,Data Scientist,$74K,$124K ,2.9,"Interactive Brokers
2.9","New York, NY","Greenwich, CT",1001 to 5000 employees,-1,Company - Public,Brokerage Services,Finance,$1 to $2 billion (USD),-1,-1,1001,5000
77,83,Data Scientist - Disney Streaming Services,$74K,$124K ,4,"The Walt Disney Company
4.0","New York, NY","Burbank, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),"News Corp, WarnerMedia, NBCUniversal",-1,10000+ employees,
78,84,Data Scientist Technical Lead,$74K,$124K ,4.4,"Google
4.4","New York, NY","Mountain View, CA",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),"Microsoft, Apple, Facebook",-1,10000+ employees,
79,85,Healthcare Data Scientist,$74K,$124K ,3.8,"Milliman
3.8","New York, NY","Seattle, WA",1001 to 5000 employees,1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD),-1,-1,1001,5000
80,86,Data Scientist - Relocate to Washington D.C.,$74K,$124K ,3.8,"CIA
3.8","New York, NY","Langley, VA",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,Unknown,
81,87,Senior Data Scientist,$74K,$124K ,2.7,"Metroplus Health Plan
2.7","New York, NY","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1,-1,1001,5000
82,88,Data Scientist,$74K,$124K ,-1,Huxley Banking & Financial Services,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
83,89,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",$74K,$124K ,4.3,"Medidata Solutions
4.3","New York, NY","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD),Oracle,-1,1001,5000
84,90,"Data Scientist, Analytics- Instagram-Family Stories",$74K,$124K ,4.5,"Facebook
4.5","New York, NY","Menlo Park, CA",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD),"Google, Microsoft, Apple",-1,10000+ employees,
85,91,Data Scientist,$74K,$124K ,-1,One Drop,"New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,-1,1,50
86,92,Point72 Data Scientist,$74K,$124K ,3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000
87,93,"Data Scientist II, Data, Models & Decisions",$74K,$124K ,3.3,"LivePerson, Inc.
3.3","New York, NY","New York, NY",1001 to 5000 employees,1995,Company - Public,Internet,Information Technology,$100 to $500 million (USD),"Oracle, Salesforce, 24/7 Real Media",-1,1001,5000
88,94,Data Scientist,$74K,$124K ,-1,Microagility,"New York, NY","Princeton, NJ",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,-1,1,50
89,95,Data Scientist/Data Architect,$74K,$124K ,-1,Financial Services Company,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
90,96,AI - Quantitative Research Scientist,$74K,$124K ,3.8,"Bloomberg
3.8","New York, NY","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Google, Goldman Sachs, Thomson Reuters",-1,10000+ employees,
91,97,Data Scientist,$74K,$124K ,3.6,"Koch Industries
3.6","New York, NY","Wichita, KS",10000+ employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1,-1,10000+ employees,
92,98,Data Scientist - Altdata,$74K,$124K ,3.3,"Huxley
3.3","New York, NY","London, United Kingdom",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,-1,201,500
93,99,Data Analyst,$74K,$124K ,4.1,"NYU Langone Health
4.1","New York, NY","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),"NewYork-Presbyterian Hospital, Northwell Health",-1,10000+ employees,
94,100,Data Scientist,$74K,$124K ,2.8,"Gate Staffing LLC
2.8","New York, NY","East Northport, NY",1 to 50 employees,2010,Self-employed,IT Services,Information Technology,$1 to $5 million (USD),-1,-1,1,50
95,101,Data Scientist,$74K,$124K ,-1,ConcertAI,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
96,102,"Data Scientist, Recommendations",$74K,$124K ,3.4,"Tapestry
3.4","New York, NY","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,"Capri Holdings, LVMH, Ralph Lauren",-1,10000+ employees,
97,103,"Data Scientist, Analytics & Insights",$74K,$124K ,3.4,"Tapestry
3.4","New York, NY","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable,"Capri Holdings, LVMH, Ralph Lauren",-1,10000+ employees,
98,104,Data Scientist,$74K,$124K ,2.9,"CKM Advisors
2.9","New York, NY","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,-1,51,200
99,105,Machine Learning Engineer/Scientist,$74K,$124K ,4.8,"Jane Street
4.8","New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,501,1000
100,106,Point72 Healthcare Data Scientist,$74K,$124K ,3.9,"Point72
3.9","New York, NY","Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000
101,107,Senior Data Scientist - Automated Marketing,$74K,$124K ,3.8,"Spotify
3.8","New York, NY","Stockholm, Sweden",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,1001,5000
102,108,Data Scientist,$74K,$124K ,5,"Averity
5.0","New York, NY","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,-1,1,50
103,109,Data Scientist,$74K,$124K ,4.2,"The CARIAN Group
4.2","New York, NY","South Plainfield, NJ",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1,1,50
104,112,Machine Learning & Data Engineer (Remote),$102K,$121K ,4.7,"Jun Group Productions LLC
4.7","New York, NY","New York, NY",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,51,200
105,113,Data Scientist,$102K,$121K ,-1,GradTests (gradtests.com),"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
106,114,Data Scientist,$102K,$121K ,2.8,"Committee of 100
2.8","New York, NY","New York, NY",1 to 50 employees,-1,Company - Private,Social Assistance,Non-Profit,$1 to $5 million (USD),-1,-1,1,50
107,115,Data Scientist / Statistician,$102K,$121K ,4.2,"NJF Global Holdings
4.2","New York, NY","London, United Kingdom",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),-1,TRUE,51,200
108,116,Data Analyst,$102K,$121K ,4,"DMGT
4.0","New York, NY","London, United Kingdom",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),"Thomson Reuters, Hearst, Pearson",-1,5001,10000
109,117,Data Scientist (Java),$102K,$121K ,4.9,"ubergig
4.9","New York, NY","New York, NY",1 to 50 employees,2009,Company - Private,Building & Personnel Services,Business Services,$5 to $10 million (USD),-1,-1,1,50
110,118,Data Scientist,$102K,$121K ,4,"OneWire
4.0","New York, NY","New York, NY",1 to 50 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,-1,1,50
111,119,Data Scientist,$102K,$121K ,3.4,"Thomas
3.4","New York, NY","New York, NY",201 to 500 employees,1898,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,TRUE,201,500
112,120,Data Scientist,$102K,$121K ,2.7,"TBWA\Chiat\Day
2.7","New York, NY","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),-1,-1,1001,5000
113,121,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,$102K,$121K ,3.5,"Internal Revenue Service
3.5","New York, NY","Washington, DC",10000+ employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable,-1,-1,10000+ employees,
114,122,Data Scientist,$102K,$121K ,3.4,"Harry and David, LLC
3.4","Carle Place, NY","Medford, OR",501 to 1000 employees,1934,Company - Public,Food & Beverage Stores,Retail,$100 to $500 million (USD),-1,-1,501,1000
115,123,Data Science Specialist USA,$102K,$121K ,3.3,"Mphasis limited
3.3","New York, NY","Bengaluru, India",10000+ employees,1992,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Infosys, Wipro, Tata Consultancy Services",-1,10000+ employees,
116,124,Senior Data Scientist,$102K,$121K ,2.5,"Foursquare
2.5","New York, NY","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,-1,201,500
117,125,Data Scientist,$102K,$121K ,-1,Glean Analytics Inc.,"New York, NY",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
118,126,"Quantitative Developer, Data & Institutional Markets",$102K,$121K ,4.4,"Ripple
4.4","New York, NY","San Francisco, CA",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,TRUE,201,500
119,127,"Data Scientist, Two Sigma Private Investments",$102K,$121K ,4.4,"Two Sigma
4.4","New York, NY","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1,-1,1001,5000
120,128,"Senior Data Scientist, Game Analytics",$102K,$121K ,4.1,"Rockstar Games
4.1","New York, NY","New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD),-1,-1,1001,5000
121,129,Data Scientist,$102K,$121K ,4.8,"TechProjects
4.8","New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,-1,1,50
122,130,Data Scientist,$102K,$121K ,3.6,"Spring Health
3.6","New York, NY","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1,1,50
